"inc_borough","cong_dist","al_source_desc","al_index_desc","highest_al_level","inc_class_group","inc_resp_min_qy","engines_assigned","ladders_assigned","others_units_assigned","emergency_min_qy","day_type","working_hour","time_of_day","tua_is_one"
"Manhattan","13","PHONE","Initial Alarm","First Alarm","NonM_E",5.25,1,1,0,23.9,"Weekend","TRUE","Morning","FALSE"
"Manhattan","10","PHONE","Initial Alarm","First Alarm","NonM_E",3.51666666666667,0,1,0,27.7666666666667,"Weekend","TRUE","Morning","TRUE"
"Brooklyn","7","PHONE","Initial Alarm","First Alarm","NonM_E",5.1,0,1,0,16.9666666666667,"Weekend","TRUE","Morning","TRUE"
"Bronx","14","Others","Initial Alarm","First Alarm","NonM_E",1.21666666666667,1,1,1,15.15,"Weekend","TRUE","Morning","FALSE"
"Queens","6","EMS","Initial Alarm","First Alarm","M_E",6.76666666666667,1,0,0,28.9,"Weekend","TRUE","Morning","TRUE"
"Queens","7","PHONE","Initial Alarm","First Alarm","NonM_E",5.88333333333333,2,1,1,13.3333333333333,"Weekend","TRUE","Morning","FALSE"
"Manhattan","13","EMS","Initial Alarm","First Alarm","M_E",4.6,1,0,0,29.8666666666667,"Weekend","TRUE","Morning","TRUE"
"Brooklyn","10","EMS","Initial Alarm","First Alarm","M_E",4,1,0,0,13.3,"Weekend","TRUE","Morning","TRUE"
"Brooklyn","8","PHONE","Initial Alarm","First Alarm","NonM_E",16.2333333333333,0,1,0,0.45,"Weekend","TRUE","Morning","TRUE"
"Queens","7","PHONE","Initial Alarm","First Alarm","NonM_E",14.75,0,1,0,13.85,"Weekend","TRUE","Morning","TRUE"
"Brooklyn","7","EMS","DEFAULT RECORD","First Alarm","M_E",7,1,0,0,11.8833333333333,"Weekend","TRUE","Morning","TRUE"
"Manhattan","13","PHONE","Initial Alarm","First Alarm","NonM_E",5.91666666666667,1,1,1,17.3333333333333,"Weekend","TRUE","Morning","FALSE"
"Manhattan","13","EMS","Initial Alarm","First Alarm","M_E",5.48333333333333,1,0,0,63.9666666666667,"Weekend","TRUE","Morning","TRUE"
"Staten Island","11","CLASS-3","Initial Alarm","First Alarm","S_F",3.58333333333333,3,2,1,12.35,"Weekend","TRUE","Morning","FALSE"
"Manhattan","10","PHONE","Initial Alarm","First Alarm","NonM_E",6.45,0,1,0,13.8333333333333,"Weekend","TRUE","Morning","TRUE"
"Brooklyn","10","PHONE","Initial Alarm","First Alarm","S_F",3.63333333333333,2,2,2,17.95,"Weekend","TRUE","Morning","FALSE"
"Manhattan","13","EMS","Initial Alarm","First Alarm","M_E",3.31666666666667,1,0,0,52.3166666666667,"Weekend","TRUE","Morning","TRUE"
"Queens","7","PHONE","Initial Alarm","First Alarm","NonM_E",4.61666666666667,0,1,1,5.4,"Weekend","TRUE","Morning","FALSE"
"Queens","6","PHONE","Initial Alarm","First Alarm","NonM_E",2.48333333333333,3,2,1,5.88333333333333,"Weekend","TRUE","Morning","FALSE"
"Brooklyn","8","PHONE","Others","NonFirst Alarm","S_F",2.43333333333333,19,15,32,447.433333333333,"Weekend","TRUE","Morning","FALSE"
"Manhattan","12","CLASS-3","Initial Alarm","First Alarm","NonM_E",6.25,1,1,1,6.2,"Weekend","TRUE","Morning","FALSE"
"Bronx","15","PHONE","Initial Alarm","First Alarm","NonM_E",4.51666666666667,3,2,1,17.5333333333333,"Weekend","TRUE","Morning","FALSE"
"Manhattan","13","PHONE","Initial Alarm","First Alarm","S_F",4.33333333333333,4,2,1,22.6666666666667,"Weekend","TRUE","Morning","FALSE"
"Brooklyn","10","PHONE","Others","NonFirst Alarm","S_F",3.53333333333333,5,4,9,177.866666666667,"Weekend","TRUE","Morning","FALSE"
"Bronx","13","PHONE","Initial Alarm","First Alarm","NonM_E",5.25,0,1,0,9.15,"Weekend","TRUE","Morning","TRUE"
"Brooklyn","9","PHONE","Initial Alarm","First Alarm","NonM_E",2.76666666666667,3,2,1,30.95,"Weekend","TRUE","Morning","FALSE"
"Bronx","15","EMS-911","DEFAULT RECORD","First Alarm","M_E",10.8,1,0,0,3.31666666666667,"Weekend","TRUE","Morning","TRUE"
"Queens","5","EMS","DEFAULT RECORD","First Alarm","M_E",5.73333333333333,1,0,0,4.2,"Weekend","TRUE","Morning","TRUE"
